Comp,BID,SID,CID,rg,asph,acyl,anis,num dom,seg,avgsize,maxsize,eig1,eig2,eig3,eig4,eig5,eig6,eig7,eig8,eig9,eig10,n_eig
0.1,0.2,2,16,12.50205957,75.33422261,34.01785969,0.281024599,2,66,167,298,0.000531984,0.001004242,0.001722106,0.002625958,0.002976659,0.005877829,0.008121322,0.008682324,0.009177261,0.011586594,2.66E-05
0.1,0.2,2,17,16.86117915,186.9174506,71.496542,0.461896881,5,133,53.4,178,0.000124166,0.000930882,0.001771766,0.0021905,0.003102879,0.003606758,0.006107674,0.00812013,0.011494833,0.011968855,6.21E-06
0.1,0.2,2,18,15.49475998,148.2711952,62.73366908,0.419616194,5,130,54,116,0.000128568,0.001112953,0.00149372,0.001909339,0.004390888,0.00517254,0.007130925,0.009191404,0.009986795,0.010641088,6.43E-06
0.1,0.2,2,19,17.16906837,191.2027779,82.07046324,0.46304098,5,137,52.6,130,0.000116579,0.000741182,0.001521914,0.002576894,0.003526047,0.005383392,0.005821135,0.009348902,0.01072809,0.010861942,5.83E-06
0.1,0.2,2,20,11.23129072,48.49313158,25.01436582,0.19103522,1,58,342,342,0.000814403,0.001487118,0.002231016,0.003176224,0.003978077,0.006758664,0.008392723,0.009593627,0.01085746,0.011874044,4.07E-05
0.1,0.2,2,21,12.169733,69.97131198,31.36982325,0.268746689,3,59,113.6666667,322,0.000484357,0.001341723,0.002513954,0.002602949,0.004190998,0.004409822,0.006749454,0.007202346,0.009283609,0.01106403,2.42E-05
0.1,0.2,2,22,12.61902324,75.545786,35.18993943,0.273752768,3,72,109.3333333,280,0.000413863,0.000750416,0.00176449,0.003272416,0.003717404,0.006609128,0.008754588,0.009663488,0.010208896,0.011375224,2.07E-05
0.1,0.2,2,23,10.49623196,40.29533341,21.02709971,0.174535912,1,58,342,342,0.000853021,0.001392446,0.003026888,0.003714346,0.005437827,0.00687125,0.009269905,0.010723589,0.012957971,0.014368665,4.27E-05
0.1,0.2,3,0,12.18522998,60.58218784,31.49122124,0.213931698,2,32,184,350,0.00054623,0.000903098,0.00139817,0.002789433,0.003355697,0.006413246,0.008866886,0.009565709,0.010405482,0.011682264,2.73E-05
0.1,0.2,3,1,12.03292916,66.14715721,32.01736986,0.257922468,2,32,184,350,0.000469115,0.001076093,0.001446626,0.003546854,0.005183167,0.006696162,0.008429871,0.009127513,0.009939006,0.011794927,2.35E-05
0.1,0.2,3,2,13.39673749,103.3148038,43.55472558,0.378625453,2,33,183.5,277,0.000257609,0.001232306,0.002780874,0.006324834,0.008360566,0.009041266,0.011608178,0.012230414,0.012865449,0.014565929,1.29E-05
0.1,0.2,3,3,14.76414582,121.1449223,52.14456529,0.349884984,4,35,91.25,271,0.000211451,0.000840408,0.001663843,0.00250722,0.003192061,0.004614038,0.006785637,0.007453165,0.010527601,0.011102523,1.06E-05
0.1,0.2,3,4,12.29022004,69.18666621,33.37074007,0.25772631,4,20,95,267,0.000397668,0.001320478,0.002366215,0.00307064,0.006133326,0.008158808,0.008370049,0.009165315,0.009748957,0.013404212,1.99E-05
0.1,0.2,3,5,12.11973271,53.98212556,29.28554326,0.17908397,4,19,95.25,327,0.000657866,0.000721454,0.001532254,0.001839894,0.004639106,0.00648773,0.00773562,0.008899479,0.009909229,0.014397547,3.29E-05
0.1,0.2,3,6,10.82270126,51.41070364,23.64198028,0.23582656,1,4,396,396,0.000844118,0.002011656,0.003865128,0.005079935,0.005579376,0.006632181,0.008114659,0.010742662,0.013023904,0.014738866,4.22E-05
0.1,0.2,3,7,12.71420547,75.29936248,36.98707629,0.268404448,3,36,121.3333333,277,0.000320038,0.001210841,0.002277119,0.003693203,0.004015099,0.005703476,0.00801542,0.008936455,0.010017376,0.014118569,1.60E-05
