# DATE: 2022-15-2022  UNITS: lj


WCA
N 1000 R 0.3 1.3

305 0.6043043043043044 1605.3863971726355 32674.67061087147
306 0.6053053053053052 1573.032481916048 31971.184360563482
307 0.6063063063063063 1541.3746195967258 31283.889697805014
308 0.6073073073073073 1510.396802287663 30612.389040535007
309 0.6083083083083083 1480.0834148209976 29956.295189396096
310 0.6093093093093094 1450.419224539493 29315.231040318537
311 0.6103103103103102 1421.3893713314985 28688.829305511645
312 0.6113113113113113 1392.9793579410336 28076.732242601975
313 0.6123123123123123 1365.1750405451378 27478.59139167149
314 0.6133133133133133 1337.9626195904782 26894.067319948044
315 0.6143143143143144 1311.3286308818754 26322.829373917935
316 0.6153153153153152 1285.259936915321 25764.55543863073
317 0.6163163163163163 1259.7437184483824 25218.931703976417
318 0.6173173173173173 1234.7674663012488 24685.652437724417
319 0.6183183183183183 1210.3189733815725 24164.419765114828
320 0.6193193193193194 1186.3863269268181 23654.943454805918
321 0.6203203203203203 1162.9579009577426 23156.940710982726
322 0.6213213213213213 1140.0223489369578 22670.135971440104
323 0.6223223223223223 1117.5685966267463 22194.260711460807
324 0.6233233233233233 1095.585835140312 21729.05325331109
325 0.6243243243243244 1074.0635141810194 21274.258581186194
326 0.6253253253253253 1052.9913354642144 20829.628161440727
327 0.6263263263263263 1032.359246316382 20394.919767944306
328 0.6273273273273273 1012.157433446679 19969.89731241025
329 0.6283283283283283 992.3763168858235 19554.33067954581
330 0.6293293293293294 973.0065440876797 19147.995566881487
331 0.6303303303303303 954.0389841888957 18750.67332913892
332 0.6313313313313313 935.464722422075 18362.150827000904
333 0.6323323323323323 917.2750546782362 17982.220280154244
334 0.6333333333333333 899.461482214246 17610.679124476366
335 0.6343343343343344 882.0157065012031 17247.329873243572
336 0.6353353353353353 864.9296242098003 16891.9799822418
337 0.6363363363363364 848.1953223287798 16544.441718663256
338 0.6373373373373373 831.8050734128076 16204.532033678355
339 0.6383383383383383 815.7513309560829 15872.072438573101
340 0.6393393393393394 800.026724888202 15546.888884347547
341 0.6403403403403403 784.6240571888654 15228.81164467355
342 0.6413413413413414 769.5362976180801 14917.675202112177
343 0.6423423423423423 754.7565795586994 14613.318137496512
344 0.6433433433433433 740.2781959681121 14315.583022385541
345 0.6443443443443444 726.0945954361088 14024.316314500513
346 0.6453453453453453 712.1993783459569 13739.368256056128
347 0.6463463463463464 698.5862931358135 13460.592774901726
348 0.6473473473473473 685.2492326577574 13187.847388391721
